building_id,street_address,postal_code,energy_star_score,property_name
883056605,1701 JOHN F KENNEDY BLVD,19103,82.0,L61864 - 1701 JFK Blvd
883705320,1200 MARKET ST,19107,51.0,Loews Philadelphia Hotel
771002000,801 PINE ST,19104,37.0,Pennsylvania Hospital
883014510,101 N INDEPENDENCE MALL E,19106,73.0,140399 Plaza
773009000,3400 SPRUCE ST,19104,7.0,Hospital of the University of Pennsylvania
884114205,4123 G ST,19124,,Juniata
774002001,3800 POWELTON AVE,19104,62.0,Penn Presbyterian Medical Center
771004000,233 S 8TH ST,19106,59.0,Hall Mercer at PAH
772032010,1801 SOUTH ST,19146,64.0,Penn Medicine At Rittenhouse
882497505,1301 CHESTNUT ST,19107,83.0,The Wanamaker Building
883053525,1735 MARKET ST,19103,68.0,"1735 MARKET STREET - OFFICE, Site # 602850"
782513600,1645 SPRING GARDEN ST,19130,67.0,Masterman
782640200,620 N 15TH ST,19130,57.0,Franklin Learning Center
883324100,2213 CHESTNUT ST,19103,77.0,American Red Cross - Humanitarian Services
882020850,1429 WALNUT ST,19102,70.0,1429-1433 Walnut St.
883040500,1500 WALNUT ST,19102,49.0,1500-1506 Walnut St.
771013000,111 SOUTH11TH ST,19107,14.0,Gibbon Building
771020000,1001 WALNUT ST,19107,76.0,Main Building
771006900,900 WALNUT ST,19107,39.0,JHN Building
771013000,1000 CHESTNUT ST,19107,26.0,Foerderer Pavilion
883704500,1201 MARKET ST,19107,38.0,33703-Philadelphia
883704600,1319 MARKET ST,19107,29.0,57164- Residence Inn Philadelphia - Center City
771005500,230 W WASHINGTON SQ,19107,9.0,Farm Journal
883704000,17 S 17TH ST,19103,47.0,Westin Philadelphia Hotel
883704700,23 N JUNIPER ST,19107,36.0,Philadelphia Downtown Courtyard
883311000,1207 CHESTNUT ST,19107,59.0,1207 Chestnut
883703600,116 S 17TH ST,19103,48.0,Sofitel Philadelphia
883702100,1400 S PENN SQ,19102,21.0,73R49-Philadelphia Ritz Carlton
883703900,1701 LOCUST ST,19103,12.0,RD - PLPH Warwick
781092450,1301 FILBERT ST,19107,51.0,Criminal Justice Center (CJC)
772027000,1501 RACE ST,19102,82.0,Bellet
883700000,1305 WALNUT ST,19107,48.0,Holiday Inn Express Midtown
883730000,3501 CHESTNUT ST,19104,9.0,Sheraton University City Hotel
883021000,1313 WALNUT ST,19107,81.0,The Philadelphia Building
883320500,2000 MARKET ST,19103,44.0,2000 Market Street
883334010,1516 WALNUT ST,19102,86.0,1518 Walnut Street
883720000,201 N 17TH ST,19103,97.0,Sheraton Philadelphia Downtown
883013010,100 S INDEPENDENCE MALL W,19106,94.0,100 Independence- DOW Building
777014000,3401 N BROAD ST,19140,3.0,TEMPLE UNIVERSITY HOSPITAL SUPERBLOCK
883059004,1717 ARCH ST,19103,76.0,Three Logan Square
881008255,201 S 11TH ST,19107,46.0,Martin Building
883313700,917 CHESTNUT ST,19107,62.0,925 Chestnut Street
883039500,1420 WALNUT ST,19102,64.0,1420 Walnut
883311500,1211 CHESTNUT ST,19107,92.0,1211 Chestnut St.
883003510,150 S INDEPENDENCE MALL W,19106,73.0,Public Ledger
883104005,1835 MARKET ST,19103,83.0,1835 Market Street
883054000,1801 MARKET ST,19103,92.0,12589 Ten Penn Center
883033001,1818 MARKET ST,19103,92.0,1818 Market St
883032000,1700 MARKET ST,19103,78.0,1700 Market Street
781051010,901 CHESTNUT ST,19107,94.0,PA0143ZZ - RN NIX FED BLDG & USPO
883073000,3521 MARKET ST,19104,87.0,3535 Market
883058000,1622 ARCH ST,19103,79.0,Arch 1650 Partners LP
883051500,22 S 17TH ST,19103,85.0,"United Plaza Lease, L.P."
883337500,1501 MARKET ST,19102,72.0,1515 Market Street
772636525,2100 ARCH ST,19103,88.0,Jewish Federation
772036205,1832 SOUTH ST,19146,9.0,Tuttleman Building
883309050,1234 MARKET ST,19107,73.0,SEPTA Headquarters
771618000,900 RACE ST,19107,2.0,GLC 16200/900 RACE ST/PHILADELPHIA/PA
883056000,1600 JOHN F KENNEDY BLVD,19103,77.0,Four Penn Center
883320000,1500 MARKET ST,19102,75.0,Centre Square - 1500 Market Street
771695000,919 WALNUT ST,19107,80.0,Nevil Building
883704900,1628 CHESTNUT ST,19103,97.0,Club Quarters Hotel
771016000,1001 LOCUST ST,19107,68.0,Hamilton Building
771017500,901 WALNUT ST,19107,36.0,901 Walnut Street Building
