w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,w_pctbpSaved,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,l_pctbpSaved
4.0,2.0,30.0,21.0,12.0,66.66666666666666,0.0,3.0,22.0,11.0,4.0,0.0
10.0,5.0,56.0,39.0,12.0,72.72727272727273,4.0,2.0,40.0,25.0,16.0,33.33333333333333
0.0,5.0,42.0,26.0,14.0,85.71428571428571,2.0,0.0,46.0,25.0,8.0,54.54545454545454
5.0,6.0,51.0,34.0,22.0,62.5,2.0,4.0,61.0,37.0,22.0,66.66666666666666
3.0,2.0,58.0,31.0,25.0,56.25,2.0,9.0,75.0,44.0,26.0,65.0
3.0,2.0,34.0,28.0,8.0,80.0,2.0,5.0,35.0,22.0,8.0,33.33333333333333
0.0,1.0,52.0,35.0,15.0,80.0,1.0,0.0,46.0,29.0,12.0,50.0
9.0,3.0,73.0,42.0,4.0,61.111111111111114,0.0,2.0,59.0,29.0,16.0,30.0
6.0,2.0,25.0,18.0,16.0,50.0,0.0,1.0,21.0,10.0,4.0,0.0
4.0,3.0,31.0,21.0,17.0,50.0,3.0,2.0,44.0,26.0,10.0,44.44444444444444
9.0,5.0,30.0,22.0,17.0,71.42857142857143,1.0,3.0,27.0,15.0,9.0,33.33333333333333
3.0,1.0,46.0,33.0,19.0,75.0,0.0,10.0,56.0,33.0,11.0,61.53846153846154
3.0,5.0,58.0,41.0,13.0,100.0,6.0,3.0,29.0,24.0,19.0,66.66666666666666
5.0,2.0,24.0,19.0,10.0,0.0,0.0,8.0,24.0,13.0,12.0,44.44444444444444
6.0,3.0,61.0,43.0,23.0,57.14285714285714,3.0,2.0,89.0,56.0,23.0,66.66666666666666
3.0,4.0,33.0,25.0,9.0,50.0,1.0,5.0,42.0,25.0,4.0,37.5
2.0,1.0,43.0,29.0,16.0,90.0,3.0,6.0,26.0,19.0,15.0,50.0
3.0,1.0,30.0,22.0,13.0,0.0,3.0,3.0,39.0,21.0,12.0,63.63636363636363
3.0,4.0,43.0,27.0,9.0,70.0,2.0,2.0,36.0,19.0,14.0,62.5
1.0,1.0,58.0,35.0,7.0,50.0,3.0,8.0,40.0,26.0,17.0,64.28571428571429
0.0,3.0,33.0,24.0,5.0,50.0,2.0,1.0,29.0,12.0,8.0,45.45454545454545
1.0,2.0,41.0,26.0,12.0,57.14285714285714,0.0,3.0,35.0,22.0,10.0,37.5
0.0,2.0,22.0,20.0,4.0,,2.0,1.0,24.0,12.0,2.0,33.33333333333333
2.0,4.0,33.0,27.0,13.0,75.0,1.0,5.0,42.0,26.0,9.0,60.0
2.0,2.0,29.0,21.0,16.0,50.0,3.0,8.0,28.0,18.0,14.0,50.0
5.0,3.0,46.0,31.0,16.0,88.88888888888889,0.0,7.0,36.0,21.0,3.0,33.33333333333333
4.0,3.0,38.0,30.0,9.0,100.0,1.0,1.0,39.0,26.0,10.0,50.0
0.0,3.0,71.0,50.0,17.0,70.0,13.0,7.0,52.0,38.0,16.0,25.0
1.0,3.0,72.0,47.0,17.0,61.53846153846154,3.0,14.0,44.0,29.0,22.0,50.0
