surface,winner_hand,winner_ht,winner_age,winner_rank,loser_name,loser_hand,loser_ht,loser_age,loser_rank,score,num_sets
Hard,R,177.0,30.88569473,22.0,Polona Hercog,R,182.0,24.99383984,72.0,6-3 6-3,2
Hard,R,168.0,27.87405886,97.0,Kiki Bertens,R,182.0,24.10677618,95.0,6-4 7-5,2
Hard,R,170.0,21.9192334,55.0,Priscilla Hon,R,171.0,17.69199179,335.0,6-0 6-3,2
Hard,R,170.0,26.61190965,14.0,Katerina Siniakova,R,174.0,19.69062286,98.0,6-3 7-5,2
Hard,R,180.0,26.46680356,16.0,Alison Van Uytvanck,R,173.0,21.81519507,43.0,6-0 6-0,2
Hard,R,169.0,21.16632444,54.0,Samantha Crawford,R,188.0,20.91444216,107.0,6-2 6-4,2
Hard,R,180.0,18.25598905,127.0,Donna Vekic,R,179.0,19.55646817,104.0,6-3 6-2,2
Hard,R,174.0,21.34976044,21.0,Victoria Duval,R,,20.13415469,654.0,6-2 6-3,2
Hard,R,164.0,29.80971937,48.0,Caroline Garcia,R,177.0,22.25598905,34.0,6-2 6-4,2
Hard,R,165.0,26.87748118,349.0,Mona Barthel,R,185.0,25.52224504,44.0,3-6 7-5 6-4,3
Hard,R,165.0,30.02053388,80.0,Mirjana Lucic,R,181.0,33.86173854,68.0,5-7 6-2 7-5,3
Hard,R,182.0,22.27789185,3.0,Anett Kontaveit,R,174.0,20.06844627,85.0,6-0 6-4,2
Hard,R,180.0,24.67351129,47.0,Venus Williams,R,185.0,35.58658453,10.0,6-4 6-2,2
Hard,R,170.0,21.94934976,83.0,Carina Witthoeft,R,176.0,20.91991786,62.0,6-1 6-2,2
Hard,R,180.0,22.86652977,66.0,Bethanie Mattek Sands,R,168.0,30.82272416,63.0,6-4 6-7 6-3,3
Hard,R,178.0,26.32169747,32.0,Petra Cetkovska,R,172.0,30.94045175,132.0,6-4 6-4,2
Hard,L,178.0,27.61396304,24.0,Maddison Inglis,U,,18.00958248,779.0,6-3 6-0,2
Hard,R,172.0,28.44626968,73.0,Olga Govortsova,R,182.0,27.40314853,71.0,6-4 6-3,2
Hard,R,180.0,27.20876112,45.0,Cristina Andreea Mitu,R,175.0,24.32306639,96.0,6-3 6-4,2
Hard,R,184.0,23.8275154,12.0,Kimberly Birrell,U,,17.72210815,296.0,6-4 6-4,2
Hard,R,178.0,20.91718001,17.0,Zarina Diyas,R,172.0,22.25051335,57.0,7-6 6-1,2
Hard,R,180.0,28.3504449,70.0,Tsvetana Pironkova,R,180.0,28.34770705,78.0,6-4 6-4,2
