tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-0806,Montreal,Hard,64,I,20160725,250,201520,12,,Petra Kvitova,L,183.0,CZE,26.38193018,13.0,2816.0,202663,,Q,Magda Linette,R,171.0,POL,24.44900753,86.0,786.0,6-1 6-2,3,R64,59.0,3.0,3.0,46.0,27.0,22.0,11.0,8.0,0.0,0.0,1.0,1.0,38.0,26.0,17.0,3.0,7.0,3.0,7.0,2,42.857142857142854,
2016-O16,Olympics,Hard,64,I,20160808,104,201520,11,,Petra Kvitova,L,183.0,CZE,26.420260100000004,14.0,2920.0,201693,,,Timea Babos,R,179.0,HUN,23.24709103,42.0,1380.0,6-1 6-2 ,3,R64,64.0,4.0,3.0,48.0,29.0,25.0,11.0,8.0,0.0,0.0,0.0,4.0,48.0,26.0,16.0,7.0,7.0,2.0,6.0,2,33.33333333333333,
2016-O16,Olympics,Hard,64,I,20160808,134,201520,11,,Petra Kvitova,L,183.0,CZE,26.420260100000004,14.0,2920.0,201496,,,Caroline Wozniacki,R,177.0,DEN,26.07802875,53.0,1026.0,6-2 6-4 ,3,R32,96.0,6.0,4.0,58.0,38.0,24.0,13.0,9.0,5.0,7.0,0.0,2.0,75.0,53.0,26.0,10.0,9.0,8.0,13.0,2,61.53846153846154,71.42857142857143
2016-O16,Olympics,Hard,64,I,20160808,149,201520,11,,Petra Kvitova,L,183.0,CZE,26.420260100000004,14.0,2920.0,201505,,,Ekaterina Makarova,L,178.0,RUS,28.16974675,35.0,1542.0,4-6 6-4 6-4 ,3,R16,161.0,3.0,5.0,116.0,73.0,46.0,18.0,15.0,10.0,15.0,2.0,3.0,86.0,55.0,34.0,12.0,15.0,5.0,11.0,3,45.45454545454545,66.66666666666666
2016-O16,Olympics,Hard,64,I,20160808,156,201520,11,,Petra Kvitova,L,183.0,CZE,26.420260100000004,14.0,2920.0,202494,15,,Elina Svitolina,R,174.0,UKR,21.90554415,20.0,2146.0,6-2 6-0 ,3,QF,48.0,1.0,2.0,34.0,23.0,20.0,8.0,7.0,0.0,0.0,0.0,2.0,34.0,21.0,8.0,5.0,7.0,2.0,7.0,2,28.57142857142857,
2016-O16,Olympics,Hard,64,I,20160808,160,201620,,,Monica Puig,R,170.0,PUR,22.86379192,34.0,1560.0,201520,11,,Petra Kvitova,L,183.0,CZE,26.420260100000004,14.0,2920.0,6-4 1-6 6-3 ,3,SF,113.0,4.0,3.0,77.0,47.0,27.0,16.0,13.0,3.0,8.0,9.0,7.0,78.0,42.0,26.0,18.0,13.0,8.0,13.0,3,61.53846153846154,37.5
2016-O16,Olympics,Hard,64,I,20160808,163,201520,11,,Petra Kvitova,L,183.0,CZE,26.420260100000004,14.0,2920.0,201619,7,,Madison Keys,R,178.0,USA,21.47296372,9.0,3401.0,7-5 2-6 6-2,3,BR,132.0,3.0,5.0,100.0,67.0,46.0,15.0,14.0,8.0,10.0,4.0,3.0,100.0,61.0,40.0,21.0,14.0,5.0,8.0,3,62.5,80.0
2016-0602,New Haven,Hard,32,I,20160822,299,201474,1,,Agnieszka Radwanska,R,170.0,POL,27.46338125,4.0,5340.0,201520,6,,Petra Kvitova,L,183.0,CZE,26.45859001,15.0,2865.0,6-1 6-1,3,SF,77.0,1.0,1.0,51.0,29.0,21.0,13.0,7.0,1.0,1.0,1.0,3.0,52.0,29.0,13.0,9.0,7.0,5.0,10.0,2,50.0,100.0
2016-0602,New Haven,Hard,32,I,20160822,296,201520,6,,Petra Kvitova,L,183.0,CZE,26.45859001,15.0,2865.0,201505,,,Ekaterina Makarova,L,178.0,RUS,28.20807666,36.0,1483.0,6-3 6-1,3,QF,60.0,2.0,1.0,54.0,43.0,29.0,8.0,8.0,2.0,2.0,1.0,4.0,44.0,22.0,13.0,9.0,8.0,3.0,7.0,2,42.857142857142854,100.0
2016-0602,New Haven,Hard,32,I,20160822,291,201520,6,,Petra Kvitova,L,183.0,CZE,26.45859001,15.0,2865.0,202446,,WC,Eugenie Bouchard,R,178.0,CAN,22.48870637,40.0,1395.0,6-3 6-2,3,R16,68.0,3.0,3.0,47.0,32.0,19.0,10.0,8.0,3.0,5.0,0.0,3.0,62.0,38.0,18.0,9.0,9.0,3.0,9.0,2,33.33333333333333,60.0
