,global_id,Departamental_Affiliation,Location,geodata_coordinates
47,860073043,Prefecture of North-Western   Administrative Okrug of Moscow,"ул. Героев Панфиловцев, д. 22, корп. 1","[[[37.409967461367, 55.857380041958], [37.410933056612, 55.857558056193], [37.410874048014, 55.857832618907], [37.410648742457, 55.857908047877], [37.412596026202, 55.858152436755], [37.413337832545, 55.858278301176]]]"
48,860953616,Prefecture of Western   Administrative Okrug of Moscow,улица Мосфильмовская от дома 2 до дома 17/25,"[[[37.533402602448, 55.725830448293], [37.533745925202, 55.725642746056], [37.533509890808, 55.725509537467], [37.529614651694, 55.723324891024], [37.527683461204, 55.722210702355], [37.524681078453, 55.720537554751], [37.522417294044, 55.719247664893], [37.52060412075, 55.71817575204], [37.519295202751, 55.717461127058], [37.517685877342, 55.716528461144], [37.517471300621, 55.716322544876], [37.517170893211, 55.716316488499], [37.516881214638, 55.716492123058]]]"
49,860147958,Prefecture of North-Western   Administrative Okrug of Moscow,Пятницкое шоссе от д.7 до д.23,"[[[37.386954042314, 55.837465713114], [37.386902278163, 55.837729727056], [37.38681345096, 55.838016649932], [37.386750085396, 55.838200452132], [37.386683830375, 55.838342514696], [37.38658727085, 55.838550803174], [37.386438410533, 55.838866163621], [37.386327211206, 55.839103690074], [37.386327211206, 55.83915500662], [37.386356715505, 55.83922443478], [37.386393671577, 55.839306512009], [37.386353438442, 55.839345753875], [37.386154072601, 55.839439698901], [37.386093579404, 55.839480775573], [37.38605066406, 55.839512470786], [37.385870956056, 55.839767540842], [37.385659065096, 55.840025483341], [37.385287599272, 55.840393130679], [37.384852177686, 55.840843887566], [37.384675013592, 55.84098876619], [37.38442037609, 55.84118619517], [37.384189307519, 55.841334705864], [37.383869272926, 55.8415668196], [37.383559967859, 55.841787907813], [37.383192505224, 55.842053527253]], [[37.382625591472, 55.842255327584], [37.382703375534, 55.842317204256], [37.382687282279, 55.842348897147], [37.382209840561, 55.842597255541], [37.381337639389, 55.843021222445], [37.380450183266, 55.84345387082], [37.379764819847, 55.843805821252], [37.378984221628, 55.844189425724], [37.378541657141, 55.844408246479], [37.377979151934, 55.844685785882], [37.3778799102, 55.844614858419]], [[37.377385735539, 55.844866628994], [37.377490341691, 55.844926992408], [37.376082551746, 55.845620028547], [37.374546394668, 55.84636539446], [37.372977877275, 55.84715226856], [37.371272918542, 55.847978232245], [37.370548888157, 55.848329399341]], [[37.370275302837, 55.848468222631], [37.369661008071, 55.848755803515], [37.369592936858, 55.848906231571], [37.36920669876, 55.849081266942], [37.369036482714, 55.849089439131], [37.367819804058, 55.849648551649], [37.367691058025, 55.849610829128]]]"
50,918378199,Prefecture of North-Western   Administrative Okrug of Moscow,от дома №29 до дома №39 по Пятницкому шоссе,"[[[37.366920771787, 55.8500002515], [37.36699587364, 55.850066642444], [37.366218033025, 55.850477056657], [37.366121473501, 55.85053439359], [37.365155878255, 55.85098403291], [37.365027132223, 55.851041369093], [37.364860835264, 55.85110775825], [37.361379327962, 55.852782537952], [37.359952392766, 55.85347958706], [37.358959975431, 55.853977471594], [37.357672515104, 55.854629238027], [37.355848612974, 55.855513329579], [37.355306806753, 55.85567626575], [37.355273121598, 55.85573244798]]]"
51,918378204,Prefecture of North-Western   Administrative Okrug of Moscow,от дома №41 до дома №47 по Пятницкому шоссе,"[[[37.354753449804, 55.855985724506], [37.354753449804, 55.856046070579], [37.35468371237, 55.856088312774], [37.353353336699, 55.856730991911], [37.353235319502, 55.856758147132], [37.352999870359, 55.856885702381], [37.3528335734, 55.85697621935], [37.352089507206, 55.857347556167], [37.351896388157, 55.857498415863], [37.351837379559, 55.857531604918], [37.351606709584, 55.857585914217], [37.348597287194, 55.85904908239], [37.348506092088, 55.85909433837], [37.348329066293, 55.859133560177]]]"
52,860139341,Prefecture of North-Western   Administrative Okrug of Moscow,территория Березовой рощи (между ул. 3-я Хорошевская д. 5-9 и Новохорошевским проездом д. 8-10),"[[[37.496792554634, 55.779313334934], [37.497681370132, 55.779704419059], [37.498150756709, 55.779931162299], [37.499218275897, 55.780070230826], [37.499609878413, 55.780194182789], [37.499663522594, 55.780309064743], [37.499652793758, 55.780393714386], [37.499765446536, 55.780520688504], [37.499733260028, 55.780871376767], [37.499518683307, 55.780943932564], [37.499352386348, 55.780940909408], [37.498107841365, 55.780877423089], [37.496723821513, 55.780750450138], [37.496552160136, 55.780659754919], [37.496530702464, 55.780550920376], [37.496536066882, 55.780303018333], [37.496600439899, 55.780185113147], [37.496739914767, 55.780094416606], [37.496809652202, 55.780006743082], [37.497319271915, 55.779952324933], [37.497866442554, 55.779897906707], [37.498131981246, 55.779920580977], [37.49972789561, 55.780859548579]], [[37.497684003514, 55.779702694294], [37.500106038254, 55.779725368685], [37.499513270062, 55.779796415002], [37.499234320324, 55.780074552524], [37.499100209874, 55.779714787307]], [[37.500117947963, 55.779719289261], [37.500246693995, 55.779654289315], [37.499981155303, 55.779175100304]], [[37.500254740622, 55.779648242803], [37.500686576274, 55.779344404353], [37.501035263446, 55.779167542071]]]"
53,860148013,Prefecture of North-Western   Administrative Okrug of Moscow,Левый берег реки Сходня,"[[[37.429342994561, 55.829123218098], [37.429187426438, 55.829144353895], [37.428479323258, 55.82899036425], [37.427374253144, 55.829117179297], [37.427020201554, 55.829153412091], [37.426773438324, 55.829237955146], [37.426365742554, 55.829316459246], [37.425823936333, 55.828902801237], [37.425616968113, 55.828752032632], [37.425246823269, 55.828601060868], [37.4247801189, 55.828450088515], [37.424031894108, 55.828207781486], [37.422952765539, 55.827871197056], [37.422313075233, 55.827657786378], [37.422018032241, 55.82762759122], [37.421739082503, 55.827533986078]]]"
54,861731600,Prefecture of Southern Administrative Okrug of Moscow,Мытная улица,"[[[37.62043883518, 55.714703342589], [37.619457146681, 55.716856414597], [37.619023843081, 55.717638962139], [37.618616147311, 55.718480760917], [37.618165536196, 55.719516330104], [37.617918772967, 55.720267251915]]]"
55,19639309,Moscow Department of housing and communal services and improvement,"площадь Джавахарлала Неру, дом 1 - Вернадского проспект дом 12","[[[37.534862462311, 55.693098200286], [37.511430684269, 55.67984082791], [37.511688176464, 55.680034398452]]]"
56,19639307,Moscow Department of housing and communal services and improvement,"Воробьёвская набережная, дом 1","[[[37.533753902547, 55.725627728067], [37.533356935613, 55.725845704858], [37.533539325826, 55.72594258304], [37.534172327154, 55.726227161302], [37.535019905202, 55.726566230555], [37.535642177694, 55.726814475811], [37.536071331136, 55.72655412099], [37.536232263677, 55.726620723552], [37.536564857595, 55.726759983086], [37.536994011037, 55.726977953529], [37.537390977971, 55.727165649321], [37.537820131414, 55.727317016234], [37.538463861577, 55.727534983555], [37.538978845708, 55.727662130594], [37.539461643331, 55.727789277218], [37.540073186986, 55.727904314281], [37.540395052068, 55.727940641703], [37.540757150285, 55.727987186148], [37.540995866888, 55.727827875198]]]"
57,860145500,Moscow Department of culture ,"улица Косыгина, дом 28","[[[37.541318390979484, 55.728019270778034], [37.54135895939079, 55.72797196951799], [37.54144780756444, 55.727912559083315], [37.54168451251, 55.727808874402385], [37.54210427822083, 55.72763177730149], [37.542264200866455, 55.72755069456253], [37.54234365724161, 55.727495343876456], [37.54237918837723, 55.7274300521481], [37.54239660646821, 55.727369096976254], [37.542388527306, 55.72728351438275], [37.542350911309384, 55.72721225099672], [37.54217669786424, 55.72692943553129], [37.54191798678447, 55.726570597889484], [37.54170794558966, 55.72629398095396], [37.54148685192119, 55.726017182500314], [37.541240606917995, 55.72570030690331], [37.54090617663457, 55.72527650401715], [37.54064515651674, 55.724928297380984], [37.540305002766694, 55.72436603950173], [37.540098395867346, 55.7239753757771], [37.53996246032861, 55.723667317015234], [37.53979221405, 55.723252529854044], [37.539658245088404, 55.72283116586049], [37.53960714162794, 55.722610662991976], [37.53952071347108, 55.72222428491813], [37.539452011862736, 55.72194036987267], [37.53941402257886, 55.72162686751887], [37.53937110723463, 55.72137382834759], [37.539301788810626, 55.72064191358407], [37.539288840830125, 55.72040574351247], [37.53928696832123, 55.72025586052186], [37.539287958755196, 55.71973727063953], [37.53929180883233, 55.71949753785109], [37.53932248099971, 55.71926385951669], [37.539351996371614, 55.71897026167562], [37.53939241283411, 55.71878176932819], [37.53946356740929, 55.718473759417044], [37.539566908492716, 55.71809913003377], [37.539627717435565, 55.717878174146534], [37.539699255214465, 55.717672357436065], [37.53977327015723, 55.717440122856445], [37.53986337835413, 55.71719274630214], [37.539996061935135, 55.71691211627915], [37.54010335029569, 55.716707716114044], [37.540232096328396, 55.71650937123544], [37.54034206689796, 55.71630345486196], [37.540478859557766, 55.71609450920475], [37.5406165184969, 55.71583085474849], [37.540738084181974, 55.71557931150454], [37.54089278602544, 55.71529939732786], [37.54108503879513, 55.71503462259569], [37.54133984865151, 55.714728764233314], [37.541669760360385, 55.71442593180834], [37.54190311254464, 55.714232117811335], [37.5420385640999, 55.71413975298852], [37.542163286819125, 55.714041331227264], [37.542794947042125, 55.713604486965416], [37.5429729786655, 55.71348354004541], [37.54315637470694, 55.713374706435395], [37.54352316678973, 55.71314038190029], [37.54412558013748, 55.71279071412129], [37.54462367175001, 55.71251279252028], [37.545159314288775, 55.71223486894611], [37.54549861372911, 55.712056375917925], [37.54586205305061, 55.711900596078756], [37.546108816280004, 55.711766204700666], [37.54655037493911, 55.71157587922817], [37.54685782314744, 55.71144158138077], [37.546828989400545, 55.71139558496828], [37.54726484836546, 55.711190020114195], [37.547755692615176, 55.71098407557034], [37.548190210475624, 55.710790244433305], [37.54905924619646, 55.71042075114739], [37.549284526346916, 55.71035388043722], [37.5495151709154, 55.71029609559846], [37.549957684589266, 55.71020929797929], [37.550483346742574, 55.7101067685266], [37.55088333130353, 55.7100518456646], [37.55129495889882, 55.70999703378594], [37.55165294231385, 55.70995433658121], [37.55209467808862, 55.70989706790914], [37.552471114098864, 55.70985859029171], [37.552852914527136, 55.70980799786816], [37.55330723263427, 55.70976312016294], [37.55432710470171, 55.709675696636026], [37.554785295169516, 55.7096502812727], [37.55569141454285, 55.70959609314471], [37.556792484528316, 55.70955173446851], [37.557380570447265, 55.70953076400107], [37.557839910333534, 55.70952796584343]]]"
58,861365262,Prefecture of Central Administrative Okrug of Moscow,Гоголевский б-р,"[[[37.602121844292, 55.745092501407], [37.600702955723, 55.745681043861], [37.600024734808, 55.746692682569], [37.600885091145, 55.750961237239]], [[37.600080692646, 55.750937021803], [37.599192180078, 55.746667569053], [37.599978067319, 55.745398214536], [37.601377272591, 55.744685887399]]]"
59,15103432,Moscow Department of natural resources and environmental protection ,от улицы Улофа Пальме до улицы Минская,"[[[37.501118237658, 55.720197723254], [37.501697595241, 55.720233980505], [37.501912172191, 55.720330665667], [37.502255494771, 55.720342751548], [37.502620274507, 55.720354837426], [37.5028133943, 55.720487779305], [37.503049428405, 55.720536121602], [37.50345712425, 55.720632806522], [37.503650243145, 55.720765747455], [37.503864820534, 55.720777833201], [37.504186685084, 55.720765747454], [37.504615839017, 55.720886602731], [37.504766042713, 55.721031628467], [37.505173737691, 55.721116226523], [37.505452687927, 55.72114039729], [37.5060105875, 55.721502958013], [37.505431229871, 55.721067884438], [37.50523811096, 55.72088660273], [37.505152280533, 55.720838260361], [37.504680211388, 55.72091077364], [37.50504499205, 55.720814089407], [37.505173737691, 55.720741576455], [37.505388314656, 55.720548207418], [37.505517061195, 55.720475693466], [37.505753095319, 55.720475693466], [37.506182248352, 55.720451522287], [37.506632859442, 55.720415265238], [37.507062013374, 55.720342751545], [37.507255132284, 55.720258151814], [37.507512624463, 55.720137294592], [37.5077915738, 55.720076865841], [37.508156354462, 55.719907665043], [37.508306558159, 55.719810978833], [37.508435303799, 55.719617605189], [37.508521134226, 55.719496745985], [37.508757169248, 55.719472574201], [37.508864457731, 55.719400058252], [37.508950288158, 55.719291284582], [37.508950288157, 55.719218768802], [37.508800084461, 55.719194596846], [37.508606965551, 55.719134166637], [37.508564050337, 55.719085822604], [37.508542592281, 55.71900122015], [37.50854259228, 55.718819928343], [37.508456761853, 55.718723238935], [37.508263642943, 55.71860237747], [37.50770574337, 55.718288134898], [37.506418283369, 55.717671728879], [37.506182248347, 55.71763546925], [37.505989129437, 55.717611296313], [37.505817468582, 55.717647555965], [37.505495603134, 55.717744247531], [37.504572922899, 55.718179358134], [37.504508550528, 55.718251875843], [37.504358346832, 55.718312307418], [37.504079396596, 55.718336479921], [37.503843362473, 55.718372738899], [37.503628785087, 55.71844525625], [37.502362783243, 55.719073736338], [37.502062375874, 55.71930337079], [37.501804883715, 55.719702206312], [37.501740510451, 55.719835150413], [37.501676137187, 55.719943922568], [37.501676137187, 55.720137294596], [37.501783425662, 55.720233980504], [37.501826340872, 55.720233980504]]]"
60,15103532,Moscow Department of natural resources and environmental protection ,от улицы Улофа Пальме до Воробьевского шоссе,"[[[37.535445973767, 55.728827929456], [37.535193846314, 55.728948759276], [37.535177752996, 55.729021257495], [37.535161659679, 55.729296144003], [37.535016820714, 55.729462283739], [37.534201428922, 55.72957707034], [37.533783004447, 55.72957707034], [37.533182189631, 55.729398848523], [37.532618925292, 55.729299164908], [37.532136127544, 55.729299164908], [37.531739161126, 55.729247812552], [37.531535312729, 55.729232709024], [37.531202719583, 55.729172294347], [37.530939862652, 55.729166253026], [37.530489251541, 55.729244791645], [37.530065462327, 55.729244791645], [37.529641674011, 55.729281040497], [37.529314443808, 55.729365620682], [37.52919642674, 55.72937468287], [37.529089138252, 55.729404889811], [37.529180333422, 55.729447179792], [37.52985625009, 55.729743208378], [37.530242488828, 55.730111730913], [37.530290767885, 55.73039265138], [37.530253217408, 55.730607115775], [37.529920623365, 55.730915218176], [37.529673859753, 55.731078330257], [37.529325173289, 55.731144783001], [37.528912112654, 55.731171968319], [37.527485177031, 55.730833662135], [37.526240632203, 55.730489311396], [37.525977775276, 55.730549724035], [37.525559350806, 55.730395671697], [37.52535550331, 55.730256722394], [37.524974629317, 55.73021443329], [37.524829790355, 55.730193288468], [37.524314805978, 55.73008454486], [37.523048803093, 55.729709980832], [37.521149799663, 55.729229688123], [37.520130560387, 55.728988029341], [37.518757269015, 55.728323459093], [37.518531963462, 55.728087836191], [37.518435404452, 55.727930753635], [37.518328115965, 55.727834086782], [37.518660710002, 55.726746570851], [37.518628523365, 55.726257178775], [37.518853828916, 55.725459637541], [37.518864557495, 55.725139408198], [37.518714353793, 55.724982313274], [37.517898962012, 55.724492899085], [37.517276690047, 55.724148492924996], [37.517040655915, 55.723967225011], [37.516654417183, 55.723888675776], [37.516225264134, 55.723822210682], [37.516186841394, 55.723780943642], [37.516278036562, 55.72357248343], [37.516181477553, 55.723421424919], [37.514330753181, 55.723898768267], [37.513552912775, 55.723944085531], [37.512936004651, 55.723859493602], [37.511637815129, 55.723300577996], [37.511160382126, 55.723098157988], [37.510790237184, 55.723052839743], [37.510361083252, 55.722913863802], [37.510001667328, 55.722859482151], [37.509298928797, 55.722913863802], [37.508875139604, 55.722892715532], [37.50844598657, 55.72286854585], [37.507507213017, 55.722635910942], [37.506031998846, 55.722348892287], [37.505554564962, 55.722413345768], [37.505012758707, 55.722558365835], [37.50537217463, 55.722301559045], [37.505785235244, 55.722047772031], [37.506107100693, 55.721929941822], [37.506825932541, 55.72178491942], [37.50715852567, 55.72170938678], [37.507630594816, 55.721854409461], [37.508478173204, 55.722286452828], [37.508939512872, 55.722497940828], [37.509545692398, 55.722712449095], [37.509990938749, 55.722769852359], [37.509990938749, 55.722851425248]]]"
61,59679807,Moscow Department of natural resources and environmental protection ,парк Царицыно,"[[[37.693768902399, 55.613568483218], [37.694713039845, 55.613035257587], [37.69535676988, 55.612041499355], [37.695785922938, 55.611265865515], [37.696215076894, 55.61082956515], [37.696386737757, 55.610393259423], [37.696944637361, 55.609714552316], [37.697073383907, 55.609569113478], [37.696815891711, 55.609060073552], [37.69673006038, 55.608769190482], [37.695485515521, 55.608478305763], [37.694927615916, 55.608284381249], [37.693897648035, 55.607848047207], [37.693125171452, 55.607848047207], [37.692524356629, 55.607217778522], [37.692524356629, 55.606878398959], [37.693082256233, 55.60644204978], [37.693940563248, 55.606029937201], [37.694455547636, 55.605763274291], [37.694927615911, 55.605642063001], [37.695228023321, 55.605278427391], [37.696172161666, 55.604745089032], [37.69664422994, 55.604478416879], [37.697202129543, 55.603629903204], [37.697502536952, 55.603023811061], [37.698360843967, 55.60266015067], [37.699176235767, 55.602611662566], [37.699777050588, 55.602611662566], [37.700206203647, 55.602635906625], [37.700592441489, 55.602417709043], [37.700420780624, 55.602247998862], [37.699390811845, 55.601787353095], [37.699562473607, 55.601472171321], [37.700120373211, 55.600769064628], [37.701107425873, 55.600017454023], [37.702266140298, 55.599314321256], [37.702738208572, 55.598877887421], [37.703811092565, 55.598514189103], [37.704240245624, 55.598223227819], [37.705184383969, 55.59805349949], [37.706214351849, 55.598005005692], [37.707072658865, 55.598005005691], [37.708274288507, 55.597932264881], [37.708832188112, 55.597786782351], [37.709433002931, 55.597132104542], [37.709733410341, 55.596671398702], [37.709733410341, 55.596525911496], [37.710119648184, 55.596962371494], [37.710076732969, 55.597132104542], [37.711020870416, 55.597132104541], [37.711278362611, 55.597398826129], [37.711578770022, 55.597641299279], [37.712994976643, 55.597568557287], [37.714282436717, 55.597544310095], [37.712909145313, 55.597641299278], [37.711750430887, 55.597689793526], [37.711364193044, 55.59766554641], [37.710849208655, 55.597908017406], [37.710205478619, 55.598392955408], [37.708488865487, 55.598708161922], [37.707458896709, 55.598732408394], [37.705570621813, 55.598805148229], [37.70479814523, 55.598902133787], [37.703210277746, 55.599411305555], [37.702309055515, 55.599896224976], [37.702180309868, 55.600284155995], [37.703424854727, 55.600429629263], [37.704283161743, 55.600696328941], [37.703081532101, 55.601047884261], [37.703682346923, 55.601205477422], [37.703081532102, 55.601472171319], [37.703575058434, 55.601472171318], [37.703854007788, 55.60186008726], [37.70413295804, 55.60186008726], [37.704776688076, 55.601423681745], [37.704154415199, 55.602199510246], [37.703682346925, 55.602563174399], [37.704283161747, 55.602660150666], [37.704497737827, 55.602563174398], [37.704798145237, 55.602151021065], [37.705141467863, 55.602320731666], [37.704669399589, 55.602635906621], [37.704240245633, 55.603205639479], [37.704068584769, 55.602999566729], [37.703596515596, 55.60299956673], [37.703510685163, 55.602757127202], [37.702609462931, 55.6025631744], [37.70179407113, 55.601908576295], [37.701493663719, 55.601690374668], [37.701021595445, 55.60176310851], [37.700678272819, 55.602199510248], [37.700635356705, 55.602417709043]]]"
62,19587790,Moscow Department of culture ,от улицы Борисовские Пруды и Каширского шоссе до Наташинской улицы,"[[[37.70689242158201, 55.6355093467212]], [[37.713887622692326, 55.63539192105298]], [[37.71065824303876, 55.63539202510049]], [[37.71538965974063, 55.63536002850063]], [[37.704338958598825, 55.635535989437884]], [[37.70893208060538, 55.63548802832672]], [[37.716752221920714, 55.63534274496072]], [[37.70621918711835, 55.63241928124293], [37.70618431840179, 55.632352738514655], [37.706117263176736, 55.63224374847412], [37.706028750279174, 55.632101343467724], [37.70599656377092, 55.63202721984048], [37.70590268645492, 55.63196363315761], [37.70583429012542, 55.631949963753165], [37.7057498005419, 55.63195146812929], [37.7055379060292, 55.63199687884817], [37.70537965569686, 55.63205898062506], [37.70502560410788, 55.63220109312169], [37.704561581947914, 55.632419255229195], [37.70429336104647, 55.63258574162112], [37.703950038292604, 55.63283112922044], [37.7037703302876, 55.63296591236856], [37.70374350819764, 55.63302349311631], [37.70375155482468, 55.63321735388407], [37.70378910575089, 55.63335810745004], [37.70379849348273, 55.633466290204886], [37.703695228436, 55.633629095934], [37.70357184682138, 55.633759220366365], [37.70329826150249, 55.633903208173166], [37.703054180481175, 55.63394553651635], [37.702734997607834, 55.634053004524475], [37.70254456076783, 55.634124083244835], [37.70249762211079, 55.63422179242613], [37.702493598798, 55.634319501375], [37.70248555216981, 55.634461761754466], [37.70243995461664, 55.634487503476855], [37.70209931407184, 55.63463894491813], [37.701923629381284, 55.634729033958], [37.70174794469072, 55.63482367458606], [37.70157628331442, 55.634941813037265], [37.70166747842153, 55.63518094130185], [37.702429225781, 55.635427758355], [37.70278998289389, 55.635549707566746], [37.70314537558882, 55.635592760248514], [37.70374350819833, 55.635504942547904], [37.704811027386, 55.635506485801], [37.70576589379504, 55.635495865122145], [37.70804577145789, 55.635461033618455], [37.709724834300964, 55.63543530554564], [37.711371710636925, 55.63540200424152], [37.71185450825897, 55.63539443103023], [37.71209322486104, 55.63539592226609], [37.71281012443886, 55.63540196528107], [37.714778116085, 55.635367198675], [37.71599852118798, 55.635327789311766], [37.7173342612769, 55.63530509563896], [37.718511751035, 55.635300582917], [37.719927957394, 55.635276358978], [37.721357574798965, 55.63523391501859], [37.722199788429954, 55.63522180303518], [37.723326316216, 55.63520665652447], [37.72558741841497, 55.635170320540475], [37.72685073886199, 55.63514760076789], [37.72733890090201, 55.63514308802245], [37.72735767636592, 55.63498264901124], [37.727395227292, 55.634822157333], [37.72744082484482, 55.63473888970551], [37.727577617504, 55.634622306941], [37.72794239793072, 55.63426043125181], [37.728403737881806, 55.633835007595884], [37.72845738206194, 55.633719939441995], [37.72848956857, 55.633604870961], [37.7285753992588, 55.63353519155859], [37.72905551467267, 55.63336545994864], [37.72931837115518, 55.633141038708395], [37.7296965626265, 55.63294549764099], [37.72990041051196, 55.63278179383523], [37.730152538159686, 55.63265298840815], [37.73041539464214, 55.6324224806245], [37.7304194179559, 55.632497674343256], [37.73068629775313, 55.63223297941114], [37.730769446232514, 55.63218757546166], [37.73097865853491, 55.63199205564003], [37.73116238985238, 55.63180860885594], [37.731930172182906, 55.6313830587562], [37.732292605676, 55.6313038135788], [37.73248337779215, 55.63129740363829], [37.73167536232673, 55.631471992341204], [37.7314037886642, 55.6316587193659], [37.73120396409319, 55.6316437210764], [37.73106717143329, 55.63168195494461], [37.73105482384212, 55.63160555560538], [37.7309137302183, 55.63154129526829], [37.73076028900341, 55.63146133098125], [37.73058215260625, 55.63118000954313], [37.730268795156185, 55.6309815418175], [37.73019997973116, 55.63079097330131], [37.73021255258595, 55.630628343788196], [37.730251025521504, 55.63046812224974], [37.73026804078495, 55.63036859764956], [37.73025915596761, 55.630193826814924], [37.730438193419474, 55.63017455743694], [37.731010845044416, 55.63025741426054], [37.731783321240215, 55.63028197950264], [37.73206227097784, 55.63031848914675], [37.73219101701061, 55.63024574298857]], [[37.71188133034992, 55.63537927160069], [37.71123760018594, 55.63476622654013], [37.71107934985411, 55.63460717321442], [37.71088086638716, 55.63449056404347], [37.7107601669822, 55.63443455475457], [37.710671654084074, 55.63435129931457], [37.71060459885821, 55.63424532340255], [37.710465123989, 55.634168097715], [37.70981066499, 55.634004581104], [37.70969130668857, 55.633977406292], [37.70935737166598, 55.63381063968977], [37.709207167962255, 55.63369262788604], [37.70904623542078, 55.63358675423811], [37.708673408367815, 55.6333458778282], [37.7086117175598, 55.63317944018211], [37.708437373975, 55.633017410774], [37.70808868680248, 55.632870502074304], [37.70686828170112, 55.632578291432445], [37.70654641661908, 55.63249653639823], [37.706291606763, 55.632435998206], [37.706173589566, 55.632423885353], [37.706012657025, 55.63245416748], [37.70589732203776, 55.63248897563206], [37.70587049994737, 55.632747922400156], [37.705859771111164, 55.63319113660873], [37.70590000424718, 55.63369876215128], [37.70603411469745, 55.63510086500131], [37.706087758877615, 55.63513932529167]]]"
