,bicycle_count,bicycle_death_count,crash_year,dec_lat,dec_long
10653,1,0,2017,39.9447,-75.1652
10668,1,0,2017,39.9559,-75.2362
10681,1,0,2017,39.9745,-75.2602
10699,1,0,2017,40.0359,-75.2177
10731,1,0,2017,39.9891,-75.1534
10772,1,0,2017,39.9442,-75.1971
10776,1,0,2017,40.0048,-75.1547
10781,1,0,2017,39.9442,-75.1616
10812,1,0,2017,39.9502,-75.1587
10821,1,0,2017,39.957,-75.2255
10829,1,0,2017,39.9379,-75.1968
10872,1,0,2017,39.9159,-75.1645
10877,1,0,2017,39.9552,-75.1983
10892,1,0,2017,39.9306,-75.15
10926,1,0,2017,40.02,-75.2155
10970,1,0,2017,39.9667,-75.155
10984,1,0,2017,39.9515,-75.2096
11011,1,0,2017,39.9979,-75.112
11012,1,0,2017,39.9648,-75.1691
11017,1,0,2017,40.0624,-75.1886
11023,1,0,2017,39.9443,-75.219
11119,1,0,2017,39.9754,-75.1908
